iter	Logloss
0	0.654779993
1	0.6042142635
2	0.5655422134
3	0.5259655925
4	0.4943739556
5	0.4777885765
6	0.4549189518
7	0.4403780138
8	0.4217103293
9	0.403181746
10	0.3907864298
11	0.3839669237
12	0.3808563343
13	0.3722732402
14	0.3577757557
15	0.352080015
16	0.344668297
17	0.3350886803
18	0.3304868009
19	0.321974226
20	0.3183986837
21	0.3137691158
22	0.3090285686
23	0.30579891
24	0.3011481161
25	0.2952611334
26	0.2921437956
27	0.2871652823
28	0.2821420721
29	0.2794076176
30	0.2769330313
31	0.2747498331
32	0.2725843472
33	0.2698156751
34	0.2680193328
35	0.2639120327
36	0.2617511715
37	0.2593883679
38	0.2566997495
39	0.2539159047
40	0.2516284289
41	0.2477942833
42	0.2457047399
43	0.2443789487
44	0.2416453868
45	0.2402309822
46	0.2356963892
47	0.2322817753
48	0.2294987402
49	0.2272853081
50	0.2239980329
51	0.2216268666
52	0.2193858744
53	0.2169551444
54	0.2154454661
55	0.2129517038
56	0.2103000374
57	0.2082060309
58	0.2060946238
59	0.204126638
60	0.2024325226
61	0.1996036849
62	0.1981052112
63	0.1958954913
64	0.194812575
65	0.1919683809
66	0.188249517
67	0.1850953697
68	0.1838443044
69	0.1813991279
70	0.1790269676
71	0.1773221807
72	0.1749243413
73	0.1733764689
74	0.1719699116
75	0.1695634362
76	0.1675747106
77	0.1666733842
78	0.1632200556
79	0.1603169928
80	0.1586960875
81	0.1571127175
82	0.1561500451
83	0.1538179057
84	0.1533514885
85	0.1514733911
86	0.1500487521
87	0.148913564
88	0.1471910929
89	0.1457085813
90	0.1445186135
91	0.1430848246
92	0.1416215243
93	0.140182523
94	0.1394823432
95	0.1386049538
96	0.1379710472
97	0.1374569419
98	0.1351061013
99	0.1329237699
100	0.1321134524
101	0.1302484215
102	0.1290942753
103	0.1278843927
104	0.1269557971
105	0.1262988699
106	0.1257432031
107	0.1254654278
108	0.1237109017
109	0.1231794492
110	0.1225207536
111	0.1212653327
112	0.1207768425
113	0.1198978659
114	0.1191154052
115	0.1175052295
116	0.1164056671
117	0.1158530248
118	0.1143048386
119	0.1134197483
120	0.1126941318
121	0.1121580982
122	0.1111414677
123	0.1104926163
124	0.1089636094
125	0.1084001658
126	0.1067104311
127	0.1059172159
128	0.1047849964
129	0.1045300633
130	0.1032522822
131	0.1025885871
132	0.1016156957
133	0.1008115274
134	0.09979068455
135	0.09929685448
136	0.09891119161
137	0.09862324444
138	0.09782352672
139	0.09724203116
140	0.09662892761
141	0.09551957554
142	0.09488486302
143	0.09440458502
144	0.0929748865
145	0.09203092049
146	0.09151232995
147	0.09089145013
148	0.09046527425
149	0.0903073894
150	0.08983212607
151	0.08934782985
152	0.08795504485
153	0.08748935759
154	0.08707947076
155	0.08633032729
156	0.08596814523
157	0.08552894713
158	0.08485671669
159	0.08464642651
160	0.08366436386
161	0.08319260085
162	0.08280031231
163	0.08203439994
164	0.08132707952
165	0.08061826387
166	0.08015372693
167	0.07979308346
168	0.07918473619
169	0.07871238872
170	0.07811673417
171	0.07702016778
172	0.07593539247
173	0.07566974454
174	0.07475654399
175	0.07443374071
176	0.07426122828
177	0.07362796622
178	0.07269400679
179	0.07207046204
180	0.07174908951
181	0.0712822743
182	0.07093933305
183	0.07075235208
184	0.07044396193
185	0.07014922123
186	0.06919033064
187	0.06818714169
188	0.06787944246
189	0.06746316075
190	0.06682255946
191	0.06635002945
192	0.06609945561
193	0.06597191411
194	0.06536164155
195	0.0645649034
196	0.06415024049
197	0.0635388252
198	0.06309014941
199	0.06297775762
